	title	artist	album	likeStatus	videoId	albumId	artistId
2794	Trunk Rattle	Vince Staples	Stolen Youth	LIKE	wy1SQ2cRKP4	MPREb_UVD8F2Bntje	UCCn7DeREpok-P8lDnYkyZWA
2797	Shots	Vince Staples	Stolen Youth	LIKE	Fm_OW-BwgE4	MPREb_UVD8F2Bntje	UCCn7DeREpok-P8lDnYkyZWA
2798	Outro	Vince Staples	Stolen Youth	LIKE	A90PQahFYxQ	MPREb_UVD8F2Bntje	UCCn7DeREpok-P8lDnYkyZWA
2775	Time Is Money ft. Rockie Fresh (feat. Rockie Fresh)	Vic Mensa	INNANETAPE	LIKE	j_6oVatfqdA	MPREb_ILK2RM6i25c	UCuoHvMcTSDTQqqLLWJxbMRA
2776	YNSP ft. Eliza Doolittle (feat. Eliza Doolittle)	Vic Mensa	INNANETAPE	LIKE	jUpzLNAZepA	MPREb_ILK2RM6i25c	UCuoHvMcTSDTQqqLLWJxbMRA
2746	Wit(z)	Valentin Stip	Angst	LIKE	FLz6MFxext4	MPREb_pJKqsqqFxvL	UChF_DP3XkNr0PWNUDFpOQDg
2747	Hiathaikm	Valentin Stip	Angst	LIKE	uxYtH0FcGTs	MPREb_pJKqsqqFxvL	UChF_DP3XkNr0PWNUDFpOQDg
2748	Angst	Valentin Stip	Angst	LIKE	m_84IzAT8OE	MPREb_pJKqsqqFxvL	UChF_DP3XkNr0PWNUDFpOQDg
2749	Nwia	Valentin Stip	Angst	LIKE	diECAYS1_8E	MPREb_pJKqsqqFxvL	UChF_DP3XkNr0PWNUDFpOQDg
2729	From The Sun	Unknown Mortal Orchestra	II (10 Year Anniversary Edition)	LIKE	nWlvCREr0ks	MPREb_5bD7cPoW8AI	UCXMAKzy9duqBltrR8TrHmpQ
2730	Swim and Sleep (Like a Shark)	Unknown Mortal Orchestra	II (10 Year Anniversary Edition)	LIKE	HY4MgJV2tIg	MPREb_5bD7cPoW8AI	UCXMAKzy9duqBltrR8TrHmpQ
2731	So Good at Being in Trouble	Unknown Mortal Orchestra	II (10 Year Anniversary Edition)	LIKE	88FUBF2S46U	MPREb_5bD7cPoW8AI	UCXMAKzy9duqBltrR8TrHmpQ
2732	One at a Time	Unknown Mortal Orchestra	II (10 Year Anniversary Edition)	LIKE	NVN022ga3RA	MPREb_5bD7cPoW8AI	UCXMAKzy9duqBltrR8TrHmpQ
2737	Faded In The Morning	Unknown Mortal Orchestra	II (10 Year Anniversary Edition)	LIKE	ojV0e2DObY0	MPREb_5bD7cPoW8AI	UCXMAKzy9duqBltrR8TrHmpQ
2738	Secret Xtians	Unknown Mortal Orchestra	II (10 Year Anniversary Edition)	LIKE	W5eWAbiQHNQ	MPREb_5bD7cPoW8AI	UCXMAKzy9duqBltrR8TrHmpQ
2739	Swim and Sleep (Like a Shark) (Acoustic Version)	Unknown Mortal Orchestra	II (10 Year Anniversary Edition)	LIKE	W3zUISGwZGo	MPREb_5bD7cPoW8AI	UCXMAKzy9duqBltrR8TrHmpQ
2740	Faded In the Morning (Acoustic Version)	Unknown Mortal Orchestra	II (10 Year Anniversary Edition)	LIKE	qzKmiICSLf8	MPREb_5bD7cPoW8AI	UCXMAKzy9duqBltrR8TrHmpQ
2741	So Good At Being In Trouble (Acoustic Version)	Unknown Mortal Orchestra	II (10 Year Anniversary Edition)	LIKE	3Vdlx4nQQII	MPREb_5bD7cPoW8AI	UCXMAKzy9duqBltrR8TrHmpQ
2742	Swing Lo Magellan (Acoustic Version)	Unknown Mortal Orchestra	II (10 Year Anniversary Edition)	LIKE	GO9XoMafUKs	MPREb_5bD7cPoW8AI	UCXMAKzy9duqBltrR8TrHmpQ
2646	Ascension	Tycho	Fragments / Ascension	LIKE	If81P8kjWeI	MPREb_VDnTa4MgzlI	UC6M6DgivBo3VHTYDa9BblqQ
2647	Ascension (Rob Garza of Thievery Corporation Remix)	Tycho	Fragments / Ascension	LIKE	QTXsvrKCE6s	MPREb_VDnTa4MgzlI	UC6M6DgivBo3VHTYDa9BblqQ
2719	Sleeper	Ty Segall	Sleeper	LIKE	mOfAC9ARCZs	MPREb_7j1TXQPUgp6	UC-Z_sxJOcuEGSq822j9VqNw
2722	The Man Man	Ty Segall	Sleeper	LIKE	jWmnEcuDSmE	MPREb_7j1TXQPUgp6	UC-Z_sxJOcuEGSq822j9VqNw
2723	She Don't Care	Ty Segall	Sleeper	LIKE	pgo5AuqRbwE	MPREb_7j1TXQPUgp6	UC-Z_sxJOcuEGSq822j9VqNw
2725	6th Street	Ty Segall	Sleeper	LIKE	e2tAjFUbu1c	MPREb_7j1TXQPUgp6	UC-Z_sxJOcuEGSq822j9VqNw
2726	Sweet C.C.	Ty Segall	Sleeper	LIKE	OWbQh2-UVRk	MPREb_7j1TXQPUgp6	UC-Z_sxJOcuEGSq822j9VqNw
2727	Queen Lullabye	Ty Segall	Sleeper	LIKE	BfB0Sat68vs	MPREb_7j1TXQPUgp6	UC-Z_sxJOcuEGSq822j9VqNw
2713	Natural Villain	Twin Peaks	Sunken	LIKE	UF1b97Qz5-k	MPREb_FAxytBjt6GU	UC-IEGAj8jq4i3em-6Pztp6w
2717	Irene	Twin Peaks	Sunken	LIKE	rOokXli4250	MPREb_FAxytBjt6GU	UC-IEGAj8jq4i3em-6Pztp6w
2718	Boomers	Twin Peaks	Sunken	LIKE	4f5Wl4SDNIY	MPREb_FAxytBjt6GU	UC-IEGAj8jq4i3em-6Pztp6w
2710	I Have No Fear	Tourist	Tonight	LIKE	aMz2eNE_9Wc	MPREb_LbpLXu6WkJR	UCP-mlMKCt28XuYwWvECgtAw
2711	Never Stop	Tourist	Tonight	LIKE	u8FWzDSgIpA	MPREb_LbpLXu6WkJR	UCP-mlMKCt28XuYwWvECgtAw
2712	Heartbeats	Tourist	Tonight	LIKE	wIbGVQ0a8b8	MPREb_LbpLXu6WkJR	UCP-mlMKCt28XuYwWvECgtAw
2688	Say That	Toro y Moi	Anything in Return	LIKE	7WMP7rQbuW4	MPREb_Ws8ystnFNy4	UCJikOjbf3VffCdLXTsbxfxg
2689	So Many Details	Toro y Moi	Anything in Return	LIKE	sdASbGBEZSA	MPREb_Ws8ystnFNy4	UCJikOjbf3VffCdLXTsbxfxg
2690	Rose Quartz	Toro y Moi	Anything in Return	LIKE	TOd_r4hBZJI	MPREb_Ws8ystnFNy4	UCJikOjbf3VffCdLXTsbxfxg
2691	Touch	Toro y Moi	Anything in Return	LIKE	bE4EdTaWU2w	MPREb_Ws8ystnFNy4	UCJikOjbf3VffCdLXTsbxfxg
2692	Cola	Toro y Moi	Anything in Return	LIKE	3db_34oFUZo	MPREb_Ws8ystnFNy4	UCJikOjbf3VffCdLXTsbxfxg
2693	Studies	Toro y Moi	Anything in Return	LIKE	AbxYSRMZqkQ	MPREb_Ws8ystnFNy4	UCJikOjbf3VffCdLXTsbxfxg
2694	High Living	Toro y Moi	Anything in Return	LIKE	xyl8n2nR9Sc	MPREb_Ws8ystnFNy4	UCJikOjbf3VffCdLXTsbxfxg
2695	Grown Up Calls	Toro y Moi	Anything in Return	LIKE	6_dRPGZQbJU	MPREb_Ws8ystnFNy4	UCJikOjbf3VffCdLXTsbxfxg
2700	What You Want	Toro y Moi	What For?	LIKE	jMeJoHYOPK4	MPREb_TVCl3WxfM0h	UCJikOjbf3VffCdLXTsbxfxg
2701	Buffalo	Toro y Moi	What For?	LIKE	RiV4-effXpo	MPREb_TVCl3WxfM0h	UCJikOjbf3VffCdLXTsbxfxg
2702	The Flight	Toro y Moi	What For?	LIKE	279GsO2EUJI	MPREb_TVCl3WxfM0h	UCJikOjbf3VffCdLXTsbxfxg
2703	Empty Nesters	Toro y Moi	What For?	LIKE	KguwH-YqcDU	MPREb_TVCl3WxfM0h	UCJikOjbf3VffCdLXTsbxfxg
2705	Lilly	Toro y Moi	What For?	LIKE	sUFcjunV3h8	MPREb_TVCl3WxfM0h	UCJikOjbf3VffCdLXTsbxfxg
2707	Half Dome	Toro y Moi	What For?	LIKE	ZqcgmEzmJNg	MPREb_TVCl3WxfM0h	UCJikOjbf3VffCdLXTsbxfxg
2709	Yeah Right	Toro y Moi	What For?	LIKE	R1_dVQVdk6s	MPREb_TVCl3WxfM0h	UCJikOjbf3VffCdLXTsbxfxg
2682	Rainforests	Tokyo Hands	Islands	LIKE	h6P9cccHDNo	MPREb_N5GfsIiIteX	UCoLU6qfnM8k5NtcIVFDnXnA
2683	Letters	Tokyo Hands	Islands	LIKE	__0DrVGMgwE	MPREb_N5GfsIiIteX	UCoLU6qfnM8k5NtcIVFDnXnA
2685	Down 4 U	Tokyo Hands	Islands	LIKE	XLw6b78sJWs	MPREb_N5GfsIiIteX	UCoLU6qfnM8k5NtcIVFDnXnA
2670	Prism	Tim Hecker	Virgins	LIKE	UMI8Iw2evJ4	MPREb_oyRLsHL1WKd	UC-PVsgu8UpfcER8RfJqUgyQ
2672	Radiance	Tim Hecker	Virgins	LIKE	OdVuUZQt9ek	MPREb_oyRLsHL1WKd	UC-PVsgu8UpfcER8RfJqUgyQ
2673	Live Room	Tim Hecker	Virgins	LIKE	tqIfu8OzVvc	MPREb_oyRLsHL1WKd	UC-PVsgu8UpfcER8RfJqUgyQ
2674	Live Room Out	Tim Hecker	Virgins	LIKE	Wesnib17T3E	MPREb_oyRLsHL1WKd	UC-PVsgu8UpfcER8RfJqUgyQ
2676	Black Refraction	Tim Hecker	Virgins	LIKE	SlHqclZr-Bg	MPREb_oyRLsHL1WKd	UC-PVsgu8UpfcER8RfJqUgyQ
2662	Tron Song	Thundercat	Apocalypse	LIKE	BttJ6aaGI2o	MPREb_16SOLOw3Eqy	UCUl7CLMqbyYVb62zJ7nbLfA
2664	Oh Sheit it's X	Thundercat	Apocalypse	LIKE	cNClcjo3PT4	MPREb_16SOLOw3Eqy	UCUl7CLMqbyYVb62zJ7nbLfA
2665	Without You	Thundercat	Apocalypse	LIKE	23JNRaykXAk	MPREb_16SOLOw3Eqy	UCUl7CLMqbyYVb62zJ7nbLfA
2668	We'll Die	Thundercat	Apocalypse	LIKE	0hoSTz0HO8A	MPREb_16SOLOw3Eqy	UCUl7CLMqbyYVb62zJ7nbLfA
2644	Fragments	Thievery Corporation	Fragments / Ascension	LIKE	MRYb9Y3q1m0	MPREb_VDnTa4MgzlI	UCqx8axYJOduerya_chK-8Ag
2645	Fragments (Tycho Remix)	Thievery Corporation	Fragments / Ascension	LIKE	2zQIxL_t_Ug	MPREb_VDnTa4MgzlI	UCqx8axYJOduerya_chK-8Ag
2626	I Come from the Mountain	Thee Oh Sees	Floating Coffin	LIKE	F2MBFy1OQ14	MPREb_2Nfupyh1Ljg	UCy-Gzb-aCE1vWkbwQZaoIXQ
2627	Toe Cutter - Thumb Buster	Thee Oh Sees	Floating Coffin	LIKE	aqmJEkgdu5Y	MPREb_2Nfupyh1Ljg	UCy-Gzb-aCE1vWkbwQZaoIXQ
2630	Strawberries 1 + 2	Thee Oh Sees	Floating Coffin	LIKE	0LGzKPngY8g	MPREb_2Nfupyh1Ljg	UCy-Gzb-aCE1vWkbwQZaoIXQ
2632	Night Crawler	Thee Oh Sees	Floating Coffin	LIKE	gcwnLdpA-xI	MPREb_2Nfupyh1Ljg	UCy-Gzb-aCE1vWkbwQZaoIXQ
2634	Minotaur	Thee Oh Sees	Floating Coffin	LIKE	WktVJHEFEbk	MPREb_2Nfupyh1Ljg	UCy-Gzb-aCE1vWkbwQZaoIXQ
2609	Philanthropist	The Underachievers	Indigoism	LIKE	Ukdk1nl7QaE	MPREb_oHmcMyxr3Y6	UCIi2K6XOMaxkBIYCB5ww4Kw
2610	Revelations	The Underachievers	Indigoism	LIKE	58H-wglY2EY	MPREb_oHmcMyxr3Y6	UCIi2K6XOMaxkBIYCB5ww4Kw
2612	Sun Through the Rain	The Underachievers	Indigoism	LIKE	bEW0EUsh8AE	MPREb_oHmcMyxr3Y6	UCIi2K6XOMaxkBIYCB5ww4Kw
2615	T.A.D.E.D	The Underachievers	Indigoism	LIKE	uEoo2DELbjs	MPREb_oHmcMyxr3Y6	UCIi2K6XOMaxkBIYCB5ww4Kw
2617	Land of Lords	The Underachievers	Indigoism	LIKE	DwQNlW50JB0	MPREb_oHmcMyxr3Y6	UCIi2K6XOMaxkBIYCB5ww4Kw
2618	6th Sense	The Underachievers	Indigoism	LIKE	QF5skpvDODE	MPREb_oHmcMyxr3Y6	UCIi2K6XOMaxkBIYCB5ww4Kw
