	title	artist	album	albumArtist	likeStatus	averageRating	albumYear	albumType	duration_seconds
i5h3l8QfEH4	Ain't That Peculiar (Single Version)	Marvin Gaye	Moods Of Marvin Gaye	Marvin Gaye	LIKE		2004.0	Album	
HO5UH4uX_yA	What's Happening Brother	Marvin Gaye	What's Going On	Marvin Gaye	LIKE		1971.0	Album	
3h-JYx76QNM	Teardrop	Massive Attack	Mezzanine	Massive Attack	LIKE	4.6589928	1998.0	Album	
Tb0MC0jFv6M	Teardrop	Massive Attack	Mezzanine (Deluxe)	Massive Attack	LIKE		1998.0	Album	
rsYPeP1XJuM	Chase The Devil	Max Romeo	War Ina Babylon (Expanded Edition)	Max Romeo & The Upsetters	LIKE		1976.0	Album	207.0
60tQmzfl1t4	Theme for an Imaginary Western	Mountain	Climbing!	Mountain	LIKE		1970.0	Album	308.0
dvzHcssihdw	Theme for an Imaginary Western	Mountain	Super Hits	Mountain	LIKE		1998.0	Album	
R1dXVy3Mf7Y	Appetite For Destruction	N.W.A.	Efil4zaggin	N.W.A.	LIKE	4.7414198	1991.0	Album	
cR7EP6sXWFg	Mona Lisa	Nat King Cole	The Nat King Cole Story	Nat King Cole	LIKE		1991.0	Album	208.0
G2vgJ0MGOlg	Mona Lisa	Nat King Cole	The Unforgettable Legend of Jazz and Swing	Nat King Cole	LIKE		2016.0	Album	
G2z7jgFN97w	Downtown	Petula Clark	Best Of	Petula Clark	INDIFFERENT		1996.0	Album	
0GdPPhTbg-0	Downtown	Petula Clark	Downtown / Les Fleur	Petula Clark	LIKE		1976.0	Single	
zHQp6O3d76A	Downtown	Petula Clark	Downtown: The Greatest Hits of Petula Clark	Petula Clark	INDIFFERENT	4.5125284	1997.0	Album	
0QIxDmTrYb0	Downtown	Petula Clark	Hits of the 60	Various Artists	LIKE		2018.0	Album	189.0
I6KjMdlNSL0	Make A Circuit With Me	Polecats	The Best Of Polecats	Polecats	LIKE		2000.0	Album	175.0
3wVvASMBgmU	Drive	R.E.M.	Automatic For The People (25th Anniversary Edition)	R.E.M.	LIKE		1992.0	Album	271.0
Sd7YmfZUbu4	I Can't Stop Loving You	Ray Charles	Ray: A Genius and His Music	Ray Charles	LIKE		2022.0	Album	253.0
SOXWZrESosE	Follow	Richie Havens	Mixed Bag	Richie Havens	LIKE		1966.0	Album	381.0
PSwaGgAjQZk	Take the Long Way Home	Roger Hodgson			LIKE				267.0
raAtEYD-eUQ	Unfold You	Rostam	4Runner	Rostam	INDIFFERENT	5.0	2021.0	Single	
Q-995bZTsxE	Unfold You	Rostam	Changephobia	Rostam	LIKE		2021.0	EP	
PWue-XcFFxw	La Villa Strangiato	Rush	Hemispheres	Rush	LIKE		1978.0	Album	575.0
3dTS7WIo-0Q	Jamz	SALES	SALES LP	SALES	LIKE		2016.0	Album	210.0
