	title	artist	album	albumArtist	likeStatus	averageRating	albumYear	albumType	duration_seconds
HJFPZTg62Sc	Wear Your Love Like Heaven	Donovan	Playlist: The Very Best Of Donovan	Donovan	INDIFFERENT		2008.0	Album	
-4ZMlaMakZw	So Wat Cha Sayin'	EPMD	Best Of	EPMD	INDIFFERENT	4.3321366	2014.0	Album	
SXm8RsyInHQ	In the City	Eagles	The Very Best Of Eagles	Eagles	INDIFFERENT		2003.0	Album	
VZYR5Xve7aw	Summertime Blues	Eddie Cochran	The Best Of Eddie Cochran	Eddie Cochran	INDIFFERENT		1996.0	Album	
PAr4GItDmeI	Summertime Blues	Eddie Cochran	Twenty Flight Rock	Eddie Cochran	INDIFFERENT		2011.0	Album	
lB7oskM1uus	C.R.E.A.M.	El Michels Affair	Fallin' Off the Reel	Various Artists	INDIFFERENT		2006.0	Album	
1w4VEc92Y_4	Burning Love	Elvis Presley	Elv1s: 30 #1 Hits	Elvis Presley	INDIFFERENT		2002.0	Album	177.0
EUvbgY79wuA	(Let Me Be Your) Teddy Bear	Elvis Presley	Loving You	Elvis Presley	INDIFFERENT		1957.0	Album	
TaEfvhcJgvM	Mediterasian	Filippo Dall'asta	Mediterasian	Filippo Dall'asta	INDIFFERENT		2018.0	Single	
KOVyBhVsOV0	Sara	Fleetwood Mac	Greatest Hits	Fleetwood Mac	INDIFFERENT		1988.0	Album	
oZLG9MV5GvQ	It's The Same Old Song	Four Tops	Four Tops Second Album	Four Tops	INDIFFERENT	4.7157207	2016.0	Album	
MHOly1URJjw	It's The Same Old Song (Single Version / Mono)	Four Tops	More Songs From The Original Soundtrack Of The Big Chill 15th Anniversary	Various Artists	INDIFFERENT		1984.0	Album	
J1oj7Z1IN8A	I've Got You Under My Skin	Frank Sinatra	Sinatra's Sinatra	Frank Sinatra	INDIFFERENT		1963.0	Album	
t5NML9XwT_s	Why Do Fools Fall In Love	Frankie Lymon	Modern Art of Music: Wedding Album	Various Artists	INDIFFERENT		2012.0	Album	
Wb27div_K4k	Why Do Fools Fall in Love	Frankie Lymon	The Abc's of Love	Frankie Lymon	INDIFFERENT		2013.0	Album	
0Ae-TCYR82I	Rag Doll	Frankie Valli & The Four Seasons	Jersey Boys: Music From The Motion Picture And Broadway Musical	Jersey Boys	INDIFFERENT		2014.0	Album	
LVAsnD969qs	Sherry	Frankie Valli & The Four Seasons	Sherry and 11 Other Hits	The Four Seasons	INDIFFERENT		1962.0	Album	
ENsSN2EFyZ0	The Young Ones (2005 Remaster)	Freddie & The Dreamers	The Very Best Of	Freddie & The Dreamers	INDIFFERENT	3.8370044	2008.0	Album	
gQw7b489DlE	One Nation Under a Groove	Funkadelic	Young Soul Rebels	Various Artists	INDIFFERENT		2010.0	Album	
EIhpMF6-JMg	Only Happy When It Rains	Garbage	Garbage (20th Anniversary Deluxe Edition/Remastered)	Garbage	INDIFFERENT		1995.0	Album	
x6tpftvMYVE	Jungle Rot	George Brigman	Jungle Rot	George Brigman	INDIFFERENT		2005.0	Album	
RYu5YbdRKL0	Who Do You Love?	George Thorogood And The Destroyers	Move It On Over	George Thorogood And The Destroyers	INDIFFERENT		1978.0	Album	
WW8Q-CrJAEM	Radar Love	Golden Earring	Ash Wednesday: Original Motion Picture Soundtrack	Various Artists	INDIFFERENT	4.4972677	2003.0	Album	
GyAvXV1NJNY	Radar Love	Golden Earring	Moontan (Remastered & Expanded)	Golden Earring	INDIFFERENT		2021.0	Album	387.0
X7h3iUhTPZM	Night Nurse	Gregory Isaacs	Reggae Giants	Various Artists	INDIFFERENT		2016.0	Album	
NC3JDy6NudM	Some Weird Sin	Iggy Pop	A Million In Prizes: Iggy Pop Anthology	Iggy Pop	INDIFFERENT		2005.0	Album	221.0
zkCCC3Zqpcs	Lust For Life	Iggy Pop	Nude & Rude: The Best Of Iggy Pop	Iggy Pop	INDIFFERENT		1996.0	Album	314.0
7nKOwCAMwg0	Lonely Teardrops	Jackie Wilson	Talk That Talk, Vol. 2	Jackie Wilson	INDIFFERENT		2014.0	Album	164.0
at785pb6Q_w	Come A Little Bit Closer	Jay & The Americans	Greatest Hits	Jay & The Americans	INDIFFERENT	4.4976745	1991.0	Album	
sytz8tMdyWw	Watch Her Ride	Jefferson Airplane	The Essential Jefferson Airplane	Jefferson Airplane	INDIFFERENT		2003.0	Album	
Tn9IyFLDtjk	Living in the Past (2001 Remaster)	Jethro Tull	The Very Best of Jethro Tull	Jethro Tull	INDIFFERENT		2001.0	Album	
IrVD0bP_ybg	Diamonds And Rust	Joan Baez	Diamonds & Rust	Joan Baez	INDIFFERENT	4.6906471	1975.0	Album	
ABZtt8M809w	Home	Joe Goddard	Home	Joe Goddard	INDIFFERENT	3.7272727	2017.0	Single	
M4mAmLnWW40	Blue Bossa	Joe Henderson	The Standard Joe	Joe Henderson	INDIFFERENT		1991.0	Album	
ImRkQ3q1AcM	Autumn Serenade	John Coltrane	Standards	John Coltrane	INDIFFERENT		2001.0	Album	
qHRgkiKQfKg	Police In Helicopter	John Holt	Riddimentary: Diplo Selects Greensleeves	Various Artists	INDIFFERENT		2011.0	Album	
SG8P2Sh5NfY	The Water (feat. Laura Marling)	Johnny Flynn	Been Listening	Johnny Flynn	INDIFFERENT		2010.0	Album	
3HdTbT_2Mn8	Time (You and I)	Khruangbin	Time (You and I)	Khruangbin	INDIFFERENT		2020.0	Single	
Z2AcjMfgpwI	If I Lead	Kiltro	Creatures of Habit	Kiltro	INDIFFERENT		2019.0	Album	207.0
3sOZCkN-4Tc	Casey's Last Ride	Kris Kristofferson	The Essential Kris Kristofferson	Kris Kristofferson	INDIFFERENT		2004.0	Album	
cZr3DBcZ__M	Short Fat Fannie	Larry Williams	The Specialty Story	Various Artists	INDIFFERENT		1994.0	Album	
CWf5FYSK7Yc	The Crunge (Remaster)	Led Zeppelin	Houses of the Holy (Deluxe Edition)	Led Zeppelin	INDIFFERENT		1973.0	Album	
n6fBQRaygeo	Misty Mountain Hop (Remaster)	Led Zeppelin	Led Zeppelin IV (Deluxe Edition)	Led Zeppelin	INDIFFERENT		1971.0	Album	279.0
Fw7O5At4jbI	Blue Shift	Lemaitre	Chapter One	Lemaitre	INDIFFERENT		2017.0	Album	
Xqc-tDSBSbE	It's My Party	Lesley Gore	It's My Party	Lesley Gore	INDIFFERENT		2016.0	EP	
Wj48-BhO6z0	Realise	Lone	Always Inside Your Head	Lone	INDIFFERENT		2021.0	Album	
q4Tr4tu6CdY	Naked Eye	Luscious Jackson	Greatest Hits	Luscious Jackson	INDIFFERENT		2007.0	Album	
eVaUDAqrpKk	Soul Makossa	Manu Dibango	Soul Makossa	Manu Dibango	INDIFFERENT		1972.0	Album	
21PBmwDLqRs	Ain't That Peculiar (Single Version)	Marvin Gaye	20th Century Masters: The Millennium Collection - The Best Of Marvin Gaye Volume 1 - The 60's	Marvin Gaye	INDIFFERENT		1999.0	Album	
Li1G6lnYaag	I Want You	Marvin Gaye	20th Century Masters: The Millennium Collection: The Best Of Marvin Gaye, Vol 2: The 70's	Marvin Gaye	INDIFFERENT		2000.0	Album	
nESLilJIE3Q	Let's Get It On	Marvin Gaye	Pure Love Moods Vol. 1	Various Artists	INDIFFERENT		2007.0	Album	241.0
tvjrSU9RaPs	What's Happening Brother	Marvin Gaye	What's Going On	Marvin Gaye	INDIFFERENT		1971.0	Album	
PLjv0-ec-eU	You're All I Need To Get By	Marvin Gaye	You're All I Need	Marvin Gaye	INDIFFERENT	4.6912932	1967.0	Album	
-_IPVGJtlBk	Teardrop	Massive Attack	Witchy Vibes	Various Artists	INDIFFERENT		2019.0	Album	
ZM1jHGVDGVM	Chase The Devil	Max Romeo	The Ultimate Reggae Album Vol.1	Various Artists	INDIFFERENT		2019.0	Album	
6Dcz-WxOeFk	Theme for an Imaginary Western	Mountain	Climbing!	Mountain	INDIFFERENT		1970.0	Album	
NbdxFehrl80	Appetite For Destruction	N.W.A.	The Best Of N.W.A: The Strength Of Street Knowledge	N.W.A.	INDIFFERENT	4.4471421	2006.0	Album	
kuagd58Tw0E	Mona Lisa	Nat King Cole	The Greatest Hits of the 40s	Various Artists	INDIFFERENT		1971.0	Album	
eTnX8HHa6KM	Downtown	Petula Clark	Best Of	Petula Clark	INDIFFERENT		1996.0	Album	186.0
0tBnWYWIw3Q	Downtown	Petula Clark	Downtown	Petula Clark	INDIFFERENT		1964.0	Single	184.0
azV39bByR1c	Make A Circuit With Me	Polecats	Rockabilly Cats	Polecats	INDIFFERENT		2008.0	Album	
JEaxLGNm7PQ	Drive	R.E.M.	Automatic For The People	R.E.M.	INDIFFERENT		1992.0	Album	
N8oV0b_0AMQ	I Can't Stop Loving You	Ray Charles	Georgia On My Mind	Ray Charles	INDIFFERENT		2003.0	Album	
YDqwmaI_IdU	I Can't Stop Loving You	Ray Charles	Modern Sounds in Country and Western Music, Vols 1 & 2	Ray Charles	INDIFFERENT	4.7351527	2009.0	Album	
CWAO5XeNM1U	Follow	Richie Havens	High Flyin' Bird / The Verve Forecast Years	Richie Havens	INDIFFERENT	3.632653	2004.0	Album	
IEazNNJEcm0	Follow	Richie Havens	Mixed Bag	Richie Havens	INDIFFERENT	4.0884809	2018.0	Album	
i7IaIjANY_Y	Unfold You	Rostam	Unfold You	Rostam	INDIFFERENT	5.0	2020.0	Single	
G_7eOHZ5A1Y	La Villa Strangiato	Rush	Hemispheres (40th Anniversary)	Rush	INDIFFERENT		1978.0	Album	578.0
jicYLe3Y5VI	Jamz	SALES	Jamz	SALES	INDIFFERENT		2016.0	Single	
VzlLi5jX_C4	(What A) Wonderful World	Sam Cooke	The Best of Sam Cooke	Sam Cooke	INDIFFERENT		1962.0	Album	
3B_IVy-gRn4	You Make Me Feel Good (Original Mix)	Satin Jackets	You Make Me Feel Good	Satin Jackets	INDIFFERENT	4.5247526	2013.0	Single	
H4vHWPZ4YCA	Blah Blah Blah	Say Hi	Impeccable Blahs	Say Hi	INDIFFERENT		2006.0	Album	207.0
6yaOd7cVFZ0	Cumbersome	Seven Mary Three	Churn	Seven Mary Three	INDIFFERENT		1994.0	Album	
ka0To8OICj4	Homeward Bound	Simon & Garfunkel	Wild - Original Motion Picture Soundtrack	Various Artists	INDIFFERENT	4.5523205	2014.0	Album	
bsxM-zuKdmQ	Everyday People	Sly & The Family Stone	Greatest Hits	Sly & The Family Stone	INDIFFERENT	4.6255026	1970.0	Album	
uTVJQQ2Q9cs	Dance To The Music (Live at The Woodstock Music & Art Fair, August 17, 1969)	Sly & The Family Stone	Sly & The Family Stone: The Woodstock Experience	Sly & The Family Stone	INDIFFERENT		2009.0	Album	
rjbqcFB_sPU	I Second That Emotion (Single Version / Mono)	Smokey Robinson & The Miracles	The Big Chill: 15th Anniversary	Various Artists	INDIFFERENT		1983.0	Album	
Pcby4aF1tPk	Driver's Seat	Sniff 'n' The Tears	A Best Of	Sniff 'n' The Tears	INDIFFERENT		1990.0	Album	240.0
EemQuYyAMfI	Death Letter Blues	Son House	Delta Blues Sounds	Various Artists	INDIFFERENT	4.6404495	2015.0	Album	
iTVHOarV338	Cool For Cats	Squeeze	Cool For Cats	Squeeze	INDIFFERENT		1979.0	Album	219.0
u_pt3khMRFs	Peg	Steely Dan	Citizen 1972-1980	Steely Dan	INDIFFERENT		1993.0	Album	
6aQC_ISbNaY	Rainy Day Mushroom Pillow	Strawberry Alarm Clock	Incense & Peppermints	Strawberry Alarm Clock	INDIFFERENT		1990.0	Album	
mPQPdYttl7U	Ballroom Blitz	Sweet	Rare Studio Tracks	Sweet	INDIFFERENT		2010.0	Album	
nCculsN10U4	Shelter Song	Temples	Colours to Life / Shelter Song	Temples	INDIFFERENT		2013.0	Single	
BSvORvIjZiU	Sixteen Tons	Tennessee Ernie Ford	Sixteen Tons	Tennessee Ernie Ford	INDIFFERENT		1955.0	Album	
fTt9UPGynk4	Bring It On Home To Me	The Animals	The Best Of The Animals	The Animals	INDIFFERENT	4.213768	1966.0	Album	
Gx4qgy8MOe4	Doves	The Black Angels	Directions To See A Ghost	The Black Angels	INDIFFERENT		2004.0	Album	
EdpMPLK0K-0	Snake In The Grass	The Black Angels	Directions To See A Ghost	The Black Angels	INDIFFERENT		2004.0	Album	
QSqg1NqBKGE	Kind of a Drag	The Buckinghams	Kind of a Drag	The Buckinghams	INDIFFERENT	4.6371808	1967.0	Album	
ukGXwLlUCo0	So You Want to Be a Rock 'N' Roll Star	The Byrds	Greatest Hits	The Byrds	INDIFFERENT	4.0643563	1967.0	Album	
e53RogF5uow	I Knew I'd Want You	The Byrds	Preflyte	The Byrds	INDIFFERENT	3.2328358	1969.0	Album	
R73iEOvkr10	Cool Jerk	The Capitols	Dance The Cool Jerk	The Capitols	INDIFFERENT		1966.0	Album	
HJUTsOQenAg	Till Then	The Classics	A Doo Wop Valentine - Original Romantic Harmonies	Various Artists	INDIFFERENT		2014.0	Album	
GCfTVpp7pAk	Anything Could Happen	The Clean	Boodle Boodle Boodle	The Clean	INDIFFERENT		1981.0	EP	
_GMUHFFIHPw	(I Want You) More Than Ever	The Clientele	Suburban Light	The Clientele	INDIFFERENT	3.8888888	2000.0	Album	
51hCH8yUnWQ	Devil or Angel	The Clovers	Doo Wop Classics Vol. 6	Various Artists	INDIFFERENT		2003.0	Album	145.0
3zzJmvvzm5g	Fool Fool Fool	The Clovers	Oldie Teen Pop, Vol. 2	Various Artists	INDIFFERENT		2016.0	Album	
foy9IIlXO8k	Devil or Angel	The Clovers	One Mint Julep	The Clovers	INDIFFERENT		2016.0	Album	
TOtt2LzCUJo	Sixteen Candles	The Crests	Original Solid Gold Hits Volume 1	Various Artists	INDIFFERENT		2005.0	Album	
0FGO0neXbWI	Gee	The Crows	Echoes Of A Rock Era	The Crows	INDIFFERENT		2005.0	Album	
V7byKQZRJwY	Godless	The Dandy Warhols	Godless	The Dandy Warhols	INDIFFERENT		2013.0	Single	
tv4xzDV7SnI	Wintertime Love	The Doors	Waiting for the Sun (50th Anniversary Deluxe Edition)	The Doors	INDIFFERENT		1968.0	Album	
MELznWDbtkQ	I Only Have Eyes for You	The Flamingos	Doo Wop Classics Vol. 1	Various Artists	INDIFFERENT		2003.0	Album	202.0
sQxszQ9BsxM	Name	The Goo Goo Dolls	A Boy Named Goo	Goo Goo Dolls	INDIFFERENT		1995.0	Album	
N0ZZ-WFc9JU	A Thousand Miles Away	The Heartbeats	Doo Wop Classics Vol. 5	Various Artists	INDIFFERENT		2003.0	Album	147.0
s4F6PRhxaGQ	Nobody But Me	The Human Beinz	Lost Hits Of The 60's (All Original Artists & Versions)	Various Artists	INDIFFERENT	4.687993	2010.0	Album	
HtADquk6Yt0	My True Story	The Jive Five	Presenting the Jive Five	The Jive Five	INDIFFERENT		1961.0	Album	
HQ8fu44c2p0	Walk Away Renee	The Left Banke	There's Gonna Be A Storm - The Complete Recordings 1966-1969	The Left Banke	INDIFFERENT	4.4272695	1992.0	Album	
o6IEgrQ4lrk	Green Tambourine	The Lemon Pipers	The Best of the Lemon Pipers	The Lemon Pipers	INDIFFERENT		2001.0	Album	
QT9_CJOw7E4	Summer in the City	The Lovin' Spoonful	Hums Of The Lovin' Spoonful	The Lovin' Spoonful	INDIFFERENT	4.6652699	1966.0	Album	
mFd1UJVA9mI	Sleep On The Floor	The Lumineers	Cleopatra	The Lumineers	INDIFFERENT		2016.0	Album	
nggh05tQnSg	Cariño	The Marías	Cariño	The Marías	INDIFFERENT		2018.0	Single	
Nuw8GJbqx94	Hang On Sloopy	The McCoys	Hang On Sloopy: The Best Of The McCoys	The McCoys	INDIFFERENT		1965.0	Album	
Oy7jS9vN6Kk	If I Were A Bell (Rudy Van Gelder Remaster)	The Miles Davis Quintet	Chronicles - The Complete Prestige Recordings 1951-1956	Miles Davis	INDIFFERENT	4.6019416	1992.0	Album	
vnax9Oo1z0I	If I Were A Bell (Rudy Van Gelder Remaster)	The Miles Davis Quintet	Jazz Showcase	Miles Davis	INDIFFERENT		1998.0	Album	
K3syk2VOmRw	Daydream Believer	The Monkees	The Monkees 50	The Monkees	INDIFFERENT		2016.0	Album	
-cZsdm0f9eg	Sincerely	The Moonglows	Old Hits to Remember, Vol. 2	Various Artists	INDIFFERENT		2016.0	Album	
vSEUJHZDppo	Gotta Get Away	The Offspring	Smash	The Offspring	INDIFFERENT		1994.0	Album	
GHUql3OC_uU	Come Out and Play	The Offspring	Smash	The Offspring	INDIFFERENT		1994.0	Album	
WGErk4ft1uU	Crying in the Chapel	The Orioles	Doo Wop Classics Vol. 2	Various Artists	INDIFFERENT		2003.0	Album	
fMxhsmApeXc	Crying in the Chapel	The Orioles	Presenting the Orioles	The Orioles	INDIFFERENT		1949.0	Album	
ZJrdE0YDjvI	Crying In The Chapel	The Orioles	The Orioles 1947-1955	The Orioles	INDIFFERENT		2005.0	Album	
mIMHu1OYA6o	I Love How You Love Me	The Paris Sisters	A Doo Wop Valentine - Original Romantic Harmonies	Various Artists	INDIFFERENT	4.5424213	2014.0	Album	
PrYnaMgkexY	California Sun	The Rivieras	America's No.1 Patriotic Songs	Various Artists	INDIFFERENT	4.5500002	2014.0	Album	
fBttKd1a3cE	Not Fade Away (Mono Version)	The Rolling Stones	More Hot Rocks (Big Hits & Fazed Cookies)	The Rolling Stones	INDIFFERENT	4.1287127	1972.0	Album	
HXbtObNGF9s	Needles And Pins	The Searchers	British Night of Rock, Vol. 1	Various Artists	INDIFFERENT	4.0270271	2016.0	Album	
utzx3n-_KVM	Needles and Pins (Mono)	The Searchers	The Definitive Pye Collection	The Searchers	INDIFFERENT	4.5938663	2004.0	Album	
4xawOpGQnuU	Leader Of The Pack	The Shangri-Las	The Best Of The Shangri-Las	The Shangri-Las	INDIFFERENT		1996.0	Album	
Jg11NgWdXFs	Get a Job	The Silhouettes	Get a Job!	The Silhouettes	INDIFFERENT	4.6721311	1957.0	Single	
CyYOXHqls0E	Since I Don't Have You	The Skyliners	Back To The 50's - Vol. 2	Various Artists	INDIFFERENT		2010.0	Album	
FxFBlLIp-E4	Since I Don't Have You	The Skyliners	The Skyliners: Greatest Hits	The Skyliners	INDIFFERENT		1986.0	Album	
AJ_6qAbiCfA	Dirty Water	The Standells	The Very Best Of The Standells	The Standells	INDIFFERENT	4.3423829	1998.0	Album	
Z2IU4qhtUS8	Hey Joe, Where You Gonna Go	The Standells	The Very Best Of The Standells	The Standells	INDIFFERENT	4.2660551	1998.0	Album	
1tyeTfkzUrY	When You Dance	The Turbans	Doo Wop For Lovers	Various Artists	INDIFFERENT		2013.0	Album	180.0
KfUpjZAEH9Y	1921	The Who	Tommy (Deluxe Edition)	The Who	INDIFFERENT		1969.0	Album	
PIW-Bn_FHLk	Heart Full of Soul	The Yardbirds	The Essential Yardbirds	Yardbirds	INDIFFERENT	4.1906157	2012.0	Album	
e-5lMWZcusY	Heart Full of Soul	The Yardbirds	The Very Best Of	Yardbirds	INDIFFERENT		2004.0	Album	
ecDVN9zR34Y	Good Lovin' (Single Version)	The Young Rascals	The Rascals: Essentials	The Rascals	INDIFFERENT		2002.0	Album	
4hpx6WuIbYI	Angels	The xx	Angels	The xx	INDIFFERENT	4.6874886	2012.0	Single	
SlWrMpV1vy0	Shambala (Single Version)	Three Dog Night	20th Century Masters: The Millennium Collection: Best Of Three Dog Night	Three Dog Night	INDIFFERENT		2000.0	Album	
lZ1KBCSkH_Q	Mama Told Me (Not To Come) (Single Version)	Three Dog Night	20th Century Masters: The Millennium Collection: Best Of Three Dog Night	Three Dog Night	INDIFFERENT		2000.0	Album	200.0
I5EZy3ZnLDs	Out In The Country	Three Dog Night	Three Dog Night - The Complete Hit Singles	Three Dog Night	INDIFFERENT		2004.0	Album	188.0
GRiQ1F0FOTw	If I Were A Carpenter	Tim Hardin	Reason To Believe (The Best Of)	Tim Hardin	INDIFFERENT		1987.0	Album	
vHb3bgXF3L0	International Feel	Todd Rundgren	A Wizard/ A True Star	Todd Rundgren	INDIFFERENT		1973.0	Album	
Y_DWxUb0vjs	It's All In The Game	Tommy Edwards	It’s All In The Game: The Best Of Tommy Edwards	Tommy Edwards	INDIFFERENT		1994.0	Album	
b6U-neH2WGA	Teenage Crush	Tommy Sands	Teenage Hits & Rarities	Tommy Sands	INDIFFERENT		2006.0	Album	
HX_oR3qwwro	Georgy Porgy	Toto	Toto	Toto	INDIFFERENT		1978.0	Album	248.0
2l5XXNcIEYo	Fire	Traffic Sound	Early Recordings (A Bailar Go-Go)	Traffic Sound	INDIFFERENT		2013.0	EP	
KuoNRfwZ050	Overnight Celebrity	Twista	00s Hip Hop	Various Artists	INDIFFERENT	4.8895707	2018.0	Album	
i_dFPShteNA	Body Behavior	Ty Segall	Body Behavior	Ty Segall	INDIFFERENT	3.6268656	2018.0	Single	
dm4tkSNKfFI	Awake	Tycho	Awake	Tycho	INDIFFERENT	4.7674417	2013.0	Single	
xDo-PGDbba0	Montana	Tycho	Montana	Tycho	INDIFFERENT		2014.0	Single	
KNh9O3gSprM	Star Song	Vince Guaraldi	Greatest Hits	Vince Guaraldi	INDIFFERENT	4.5845823	1989.0	Album	
erYhpW1sFAQ	Kingdom Rise Kingdom Fall	Wailing Souls	Fire House Rock	Wailing Souls	INDIFFERENT		1980.0	Album	
nv-K-rWBFQA	After Laughter (Comes Tears)	Wendy Rene	Stax-Volt: The Complete Singles 1959-1968	Various Artists	INDIFFERENT		2007.0	Album	
jRjvoT82-hQ	Celestial Creatures	Wild Beasts	Boy King	Wild Beasts	INDIFFERENT		2016.0	Album	
JeTC0HHiILc	Why You Always Hatin? (feat. Drake & Kamaiyah)	YG	Hip Hop Summer Party	Various Artists	INDIFFERENT	4.6237507	2019.0	Album	
