title	artist	album	likeStatus	videoId	albumId	artistId	playlists
The One (Kevin McPhee Remix)	Sepalcure	Eternally Yrs	LIKE	gNogOzOU9-g	MPREb_cR9pZDSH8Gx	UCST8vBCPIaYOPuUxXsCz3hQ	electronic Underjord
Three Sided Shape	Scuba	Triangulation	LIKE	94lQ8S8aASs	MPREb_0hSYu9S5Css	UC33E-s7s5KcXexPSRogMRIg	electronic Underjord
Don't Save Face (Ross From Friends Remix)	Sam Weston	Don't Save Face (Ross From Friends Remix)	LIKE	G2nqTe2WQmo	MPREb_JeSKwWJ7Q1I	UCqdYeYcFSUdv0MwwFR98K7g	electronic Underjord
Oscillate	SOHN	Bloodflows	LIKE	CjlCcGxP6L0	MPREb_kAgmX9VmESM	UCxfkNV9JrzyyGFYRgZ8_F4A	electronic Underjord
Hide or Seek	SBTRKT	Step in Shadows	LIKE	xOz5uHdcRx4	MPREb_QDDGGsIshoW	UCaWaWjoxiBI0Pcj4l8fKzmQ	electronic Underjord
Trials of the Past	SBTRKT	SBTRKT	LIKE	SvQ5pfVyMp0	MPREb_LCPfgujuplX	UCaWaWjoxiBI0Pcj4l8fKzmQ	electronic Underjord
Yaeko Mitamura Is Lonely	Ryan Hemsworth	Guilt Trips	LIKE	1Jo9AjElPyw	MPREb_f3sONqVYMNJ	UCHccqgrWMi_JxX6bizyE7lQ	electronic Underjord
Ryan Must Be Destroyed	Ryan Hemsworth	Guilt Trips	LIKE	tqXkGTkzwK4	MPREb_f3sONqVYMNJ	UCHccqgrWMi_JxX6bizyE7lQ	electronic Underjord
Happiness & Dreams Forever	Ryan Hemsworth	Guilt Trips	LIKE	TbTYoHyXl9M	MPREb_f3sONqVYMNJ	UCHccqgrWMi_JxX6bizyE7lQ	electronic Underjord
The Sunrise In Her Eyes	Route 8	This Raw Feeling	LIKE	5VmXEaPgRv8	MPREb_qDjpeq4G5nm	UCR_vmt1v-J18FwO6XXhrbBw	electronic Underjord
New Day Dub	Round Two	1993-99 Main Street Records	LIKE	N9j1XFzsYyk	MPREb_76Rh9fsBFAs		electronic Underjord
The Knife	Ross from Friends	Family Portrait	LIKE	AIlOzfQlcIA	MPREb_7jUTHvdB7Ex	UCTniBt4tMAMEKn6cdBdAs4Q	electronic Underjord
Nitesky (feat. John LaMonica)	Robot Koch	The Other Side	LIKE	Sjnq4BesYCs	MPREb_e4dQ5yrF23l	UCdqVJGXGx0hlifG5BbjZ38A	electronic Underjord
Smile	Rhythm & Sound	Smile	LIKE	o0knTCaPszs	MPREb_QXpQSRPk9dl	UCPZ9HRQija-DHcnB0AaV4TQ	electronic Underjord
Feel Your Weight (Poolside Remix)	Rhye	Blood Remixed	LIKE	cT_Q-psbmtY	MPREb_xz5Riq6emoG	UCO3bfi6sSorqa0p7Wu_s1DA	electronic Underjord
Wist 365	Recondite	Update	LIKE	NZTUWEZdrME	MPREb_hhtvag375hs	UCsXvY1UIH6CG5-RNAy9kUxw	electronic Underjord
Bloom (Jamie xx Rework Part 3)	Radiohead	TKOL RMX 8	LIKE	OnydkS7sRHc	MPREb_kyVVLTlOd4U	UCr_iyUANcn9OX_yy9piYoLw	electronic Underjord
Little By Little (Caribou Rmx)	Radiohead	TKOL RMX 1234567	LIKE	Jg4Y_0-wWZI	MPREb_0lUBE22oiip	UCr_iyUANcn9OX_yy9piYoLw	electronic Underjord
Luxurious	Plastician	Luxurious	LIKE	dlG1PKTbCtQ	MPREb_CGTvXxJ9oUC	UCsI069hPhPsQTjD0KrbxBpA	electronic Underjord
Fukushima	Phon.o	Modeselektion, Vol. 2	LIKE	ZF10dx7GMQs	MPREb_WQPhvrcElkV	UCLaz23InrHGGprFn3s42rBQ	electronic Underjord
Nightshifts	Phon.o	Black Boulder	LIKE	tP5RA267zCE	MPREb_8uF1v9Nlx2S	UCLaz23InrHGGprFn3s42rBQ	electronic Underjord
Black Bolder	Phon.o	Black Boulder	LIKE	guI127cO25s	MPREb_8uF1v9Nlx2S	UCLaz23InrHGGprFn3s42rBQ	electronic Underjord
ABAW 723	Phon.o	Black Boulder	LIKE	u0PDxPORajQ	MPREb_8uF1v9Nlx2S	UCLaz23InrHGGprFn3s42rBQ	electronic Underjord
Should Be True	Phaeleh	The Cold in You	LIKE	lUuHD7PW0YU	MPREb_7WbGTuyi8XE	UCV3rFgKeOAkg3ikpHE8HsZQ	electronic Underjord
Sky Lounge	Patrick Holland	I Want To Believe	LIKE	CFhFzJBkZ3I	MPREb_OfJlb8pjrh2	UCfs8MUK10NUHXQ-J5zfDqzA	electronic Underjord
Ventris	Parallel 9	Dominus	LIKE	k49ds9OWPxM	MPREb_aK7vGhtDiA5	UCfd3ZElaYmS-WuRH1MDQvaA	electronic Underjord
Router	Pangaea	You & I / Router	LIKE	lOWqd0JIKnA	MPREb_64MdxJYFGRj	UCTHodm_A-V-PZsenQCKV-Cw	electronic Underjord
Sumo Acid Crew	Palms Trax	In Gold	LIKE	0lHm6P-C130	MPREb_3dLE4cqmkWu	UCRA80c0DjIIAFeHp7GuoAJQ	electronic Underjord
Equation	Palms Trax	Equation	LIKE	Zxll9-06A4U	MPREb_oV8G5bcLOUO	UCRA80c0DjIIAFeHp7GuoAJQ	electronic Underjord
Zones Without People	Oneohtrix Point Never	Zones Without People	LIKE	qMMqXTzTNdk	MPREb_zEJnqxClweP	UCnj8OjhJVGOgCq8zEN1tGNg	electronic Underjord
Russian Mind	Oneohtrix Point Never	Russian Mind	LIKE	i8twRZbR7yI	MPREb_ChaSxQsWPTx	UCnj8OjhJVGOgCq8zEN1tGNg	electronic Underjord
Chrome Country	Oneohtrix Point Never	R Plus Seven	LIKE	1737WkBPs5o	MPREb_eZhiASkN4bg	UCnj8OjhJVGOgCq8zEN1tGNg	electronic Underjord
Boring Angel	Oneohtrix Point Never	R Plus Seven	LIKE	B8HUVFzQNHw	MPREb_eZhiASkN4bg	UCnj8OjhJVGOgCq8zEN1tGNg	electronic Underjord
