videoId	title	album	artist
_637zMG2MkY	Killing Me Slowly	N.A.T.I.O.N.	Bad Wolves
8KjrB6mlkwo	This Song	The Hour of Bewilderbeast	Badly Drawn Boy
s6me17kYy54	Doin' the Dance	On Target	Bangalore Choir
eg2C2UN9Y9Y	Love and War (feat. Ghostface Killah)	Anything But Words	Banks & Steelz
kNYw26LqnLo	Love Makes A Woman	20 Greatest Hits	Barbara Acklin
HPMraGst-Ys	Baby, I'm Yours	Best Of	Barbara Lewis
h_qrBYtIGb4	Baby, I'm Yours	The Bridges Of Madison County Original Sound Track	Barbara Lewis
YPy_At_97YM	Baby, I'm Yours	Baby, I'm Yours	Barbara Lewis
EPSipyWlmSU	Guilty (feat. Barry Gibb)	Guilty	Barbra Streisand
-xWdhCQMIrY	Stoney End	Stoney End	Barbra Streisand
4rI6WafYAps	Light Up My Room	Stunt (20th Anniversary Edition)	Barenaked Ladies
8Vv3Ve6KQt8	Brian Wilson	Gordon	Barenaked Ladies
v608LgwGpxY	The Vibes Is Right	Here I Come	Barrington Levy
6bYwSZbg3xk	Deep in the Dark	Divine	Barrington Levy
lsz41NrcVzI	Trying to Rule My Life	Teach Me Culture	Barrington Levy
s2sPBA6gVSQ	Soldier	Reggae Anthology: The Channel One Story Chapter Two	Barrington Levy
hlUYA18mBB4	Better Than Gold	The Harder They Fall (The Motion Picture Soundtrack)	Barrington Levy
o9WAoA8mY44	Many Changes In Life	Robin Hood	Barrington Levy
YW1kk-J1U8M	Under Mi Sensi	Reggae Hits, Vol. 1	Barrington Levy
uA0Y7P3pabM	Praise His Name	Reggae Anthology: Sweet Reggae Music (1979-84)	Barrington Levy
P-Q5f_9RTD8	Dances Are Changes	Reggae Anthology - The Channel One Story	Barrington Levy
H18HIaM9Xts	Enter the Kingdom of Zion	Les titres essentiels Reggae Essentials	Barry Brown
uw5gZTWbiOk	Enter The Kingdom Of Zion	Barry Brown's Step It Up Youthman	Barry Brown
zjxSSihsVkI	Who Put the Bomp	Dance Classics: Doo Wop Sessions, Vol. 4	Barry Mann
zul1T_E6jPU	Who Put the Bomp	Classic Doo Wop Is Back, Vol. 4	Barry Mann
_38SWIIKITE	Eve Of Destruction	Eve Of Destruction	Barry McGuire
1g6GTmHAPbY	You're The First, The Last, My Everything	You're The First, The Last, My Everything	Barry White
E7zmRvhFEYo	You're The First, The Last, My Everything	Can't Get Enough	Barry White
TRuD7f_mos8	Speak with a Dofflin (Sable Remix)	Thesoundyouneed, Vol. 1	Basenji
Tf6z7cy0vb8	High School Roaches	Gb City	Bass Drum Of Death
52WDK9L67lc	Serenade	Serenade	Bastido
AgDBs7PiZcE	Aw! Who	(Not Just) A Pretty Face and a Pompadour	Bat Carroll
LkLZoew9RYs	Ironworks	Obsidian	Baths
sfG0ZV-IRhU	Ocean Death	Ocean Death	Baths
MyQdzf6qe8E	Alive	Form - EP	Battle Tapes
gYnSD_ZXSxk	Window View	Beach Fossils	Beach Fossils
te_ytts7njE	Wide Awake	Beach Fossils	Beach Fossils
gMY6uxUkx_M	Shallow	Clash the Truth	Beach Fossils
