	title	artist	album	likeStatus	videoId	albumId	artistId
95	Evening/Morning	Bombay Bicycle Club	Evening/Morning	INDIFFERENT	SbBHD-DxTPQ	MPREb_CqBOND2UsKl	UC8BTMkXw4NFNex42ExZUT8g
86	Ratchet	Bloc Party	FOUR (Deluxe Version)	INDIFFERENT	f3k3_yxaImg	MPREb_HrF4nVn97Kp	UC8WZEmES6UN3w_J2XQQVm-w
259	I Wanna Get Better	Bleachers	I Wanna Get Better	INDIFFERENT	m-V0LpGO3Pw	MPREb_N5ANEWnSV0R	UC4I8aMvF6G_x6n-1ZWnlq1Q
247	idontwannabeyouanymore	Billie Eilish	dont smile at me	INDIFFERENT	MDedqBwm-yI	MPREb_1Ju8u992G4O	UCERrDZ8oN0U_n9MphMKERcg
155	I Forget Where We Were	Ben Howard	I Forget Where We Were	INDIFFERENT	jPUSFXHFKLs	MPREb_IfHu7alMypN	UCdrYSE8i5VS1HwtXJBnWJ8A
285	Down to the River	Ben Caplan	In the Time of the Great Remembering	INDIFFERENT	w_TDrJyNP44	MPREb_9Vdrk0iokdD	UC7iCUkeVf09eUuHmdf1Af9A
100	Poor Boy (Radio Edit)	Belle and Sebastian	Poor Boy (Radio Edit)	INDIFFERENT	1jAUPvoHfoU	MPREb_1KO0qlbafpb	UCjOin6lF-KJsIh5shOM_EjA
217	My Night With the Prostitute from Marseille	Beirut	March of the Zapotec and Real People Holland	INDIFFERENT	f19kox9yrT8	MPREb_ZH5tDVJ8WZp	UCW68o7G-s6GunZ-Gv2Z7EKQ
262	I Won't Be Long	Beck	I Won't Be Long	INDIFFERENT	asZ3HPEbbVw	MPREb_hO3jkcDgj6m	UC8fxkahdLdfHk8pF1fRYD-w
190	Agora	Bear Hands	Distraction	INDIFFERENT	gj8JWnrs_nc	MPREb_xJmVUPQRlBF	UCJFrwZPV4usat7fUipVMH_Q
209	Pompeii	Bastille	All This Bad Blood	INDIFFERENT	9Gb0a8Ie2hM	MPREb_kEuWASdLNk9	UCw81Qqzprmu2NKgRpZHiPrg
116	Darjeeling	Barrie	Happy To Be Here	INDIFFERENT	-dI53mWIuK0	MPREb_trEwWALGgnf	UCzuCyqD6EpHh-kVYNCiZwCw
3	The Great Salt Lake	Band of Horses	Everything All The Time	INDIFFERENT	Rt408RsJRYY	MPREb_ctJ5HEJw8pg	UCLEJF57HPNem3bdqXSiIo3Q
275	Forest Whitaker	Bad Books	II	INDIFFERENT	Gs0XvBTkGr4	MPREb_cX1z1WUygY8	UCZlbMytE4KwJxlxzkceWpVw
118	Risk It	Austra	Risk It	INDIFFERENT	I7WGVMByRqI	MPREb_yfRdFiam2me	UCD9i0tQ8nwq5DHCfdtrSIHw
71	Symptoms	Atlas Genius	When It Was Now	INDIFFERENT	unHneAftads	MPREb_nZjQk9emci8	UCi2dTe1S6FAhDCv97U8jEGw
101	Crown of Love	Arcade Fire	Funeral	INDIFFERENT	MGxy5qSZOJM	MPREb_X7jiu0wnwSt	UCXvAK640Ko85SLbI-zA0ZCg
46	Kinda Bonkers	Animal Collective	The Painters	INDIFFERENT	8VLb3gu4-QI	MPREb_W55bySL3T41	UC6X5Baxp63Ex9NaLZwAy7lQ
27	Change	Anika	Change	INDIFFERENT	lOgu2HEeuQs	MPREb_Y9xT91MphPR	UCqlqGaYYWT6kt29dgkSauhQ
142	Piledriver waltz	Alex Turner	Submarine - Original Songs From The Film By Alex Turner	INDIFFERENT	GmOxB-gXhs4	MPREb_2F0rkavqlzl	UCjNrI-NzRfbb7OHYI6LAY-g
110	hold your hand	Adison Maxwell	Jack	INDIFFERENT	TyiHbnH9udw	MPREb_F2oLux6KJXs	UClpNRfXrFehCeHxvss34K0A
224	People II: The Reckoning	AJJ	People Who Eat People Are The Luckiest People In The World	INDIFFERENT	ezmMaLI0BGA	MPREb_zLGSWE8Iq15	UCmitgDYrviggbSxrrVIjXOQ
214	It's Always Sunny in Philadelphia (feat. Mike Nappi)	A.Rob	21	INDIFFERENT	dxpBiHAMnGI	MPREb_ShJxhB1otWT	UCHIqE0t4nDxweRt34PlfnGg
54	Word Of Mouth (Audiotree Live Version)	Shakey Graves	Shakey Graves on Audiotree Live (2013)		QsHUjNAbL68		
