title	artist	album	likeStatus	videoId	albumId	artistId	playlists
Janet	M. T. Hadley	Janet	INDIFFERENT	p8RMK66Mstg	MPREb_OmzoLU1QA79	UC4y8kDZU6ATlucb0p_W7CCA	soul kings and queens radio
Move	Lynda Dawn	At First Light	INDIFFERENT	9ALE5x5_ig0	MPREb_6hGQDZ9kJCr	UC5ld2h8KIQ1-hXywgSsXWXA	soul kings and queens radio
Fonk Street	Lynda Dawn	At First Light	INDIFFERENT	T2OIZduPcik	MPREb_6hGQDZ9kJCr	UC5ld2h8KIQ1-hXywgSsXWXA	soul kings and queens radio
Arise	Lynda Dawn	At First Light	INDIFFERENT	oqKXaxfrkIg	MPREb_6hGQDZ9kJCr	UC5ld2h8KIQ1-hXywgSsXWXA	soul kings and queens radio
Drip	Luke James	Drip	INDIFFERENT	fH-W48_QJaQ	MPREb_gmqWhSbeq6D	UCFmIHi9pQgr7sIbCeSW7dqA	soul kings and queens radio
Système	Luidji	Tristesse Business : Saison 1	INDIFFERENT	S7M3sDMtzX4	MPREb_IZHRL6K9hCy	UCnx8UKuTG5olnRIdXkGFyAA	soul kings and queens radio
Call	Lucky Daye	Painted	INDIFFERENT	f6bEepo1X18	MPREb_xjK8GOHvu08	UCzj_b294hukUPPkbwgiMmLQ	soul kings and queens radio
Angel	Loyle Carner	Not Waving, But Drowning	INDIFFERENT	kujx0vCmwOk	MPREb_UsiTJZ4Qc1x	UC-pW_2ayTyOJbqVOXNWE9jw	soul kings and queens radio
Feelings In The Air	Louis Rustum	Feelings In The Air	INDIFFERENT	wmjC4ZEH0gw	MPREb_U6UA9UO34PO	UCVTW7f1cBO4Y9ILsOUUSW0A	soul kings and queens radio
Powaline	Liv.e	Hoopdreams	INDIFFERENT	zVx9NhlXfsk	MPREb_9YS1FjdX15q	UCaaSp3ePKbpWIsXHE2bGy2Q	soul kings and queens radio
Smile	Leven Kali	Smile	INDIFFERENT	LcdlLcwCNks	MPREb_jEWIqrlDf5O	UCMob7bYrgQdgpeHAT5wb0jg	soul kings and queens radio
HOMEGIRL (BONUS TRACK) (feat. Smino & Topaz Jones)	Leven Kali	HIGHTIDE	INDIFFERENT	BT9bc7KCfPs	MPREb_XOZWSESBBS6	UCMob7bYrgQdgpeHAT5wb0jg	soul kings and queens radio
Sourire	Les Nubians	Princesses nubiennes	INDIFFERENT	1Pg89ZfyQ9o	MPREb_ma5Gp2KXvXw	UCV19D-zQ52UOAh3PD8et_4A	soul kings and queens radio
All About You	Leon Bridges	All About You	INDIFFERENT	f32OYT3iDUw	MPREb_jY1DyNNuF2i	UCnqQ2w8U9bqdEkGKSiBVkRA	soul kings and queens radio
Tell Him	Lauryn Hill	The Miseducation of Lauryn Hill	INDIFFERENT	6ceHBq8smJw	MPREb_qYhF5ZzV2ws	UC3j9UpJkGNY9GDm3EdbEiVA	soul kings and queens radio
Just a Little (Remix)	Lauren Faith	Just a Little (Remix)	INDIFFERENT	GxXkPBrjZR8	MPREb_BOaWdA97vqL	UCZYdL-jA_FUgk6E1t5__2Gg	soul kings and queens radio
Piece Of Me	Lady Wray	Piece of Me	INDIFFERENT	J5kHcg-kwRE	MPREb_upZOoCMcWOb	UCPRhTW0n1Ia3cZ93rbliGYw	soul kings and queens radio
Honey Dew	LION BABE	Cosmic Wind	INDIFFERENT	aSF0mlzmAso	MPREb_59MOXaT0ueZ	UCNcXXfxcj9V7own3a0lGhnw	soul kings and queens radio
Hit the Ceiling	LION BABE	Cosmic Wind	INDIFFERENT	yS58GhQbs7E	MPREb_59MOXaT0ueZ	UCNcXXfxcj9V7own3a0lGhnw	soul kings and queens radio
Get You Alone	Kyle Dion	Painting Sounds	INDIFFERENT	6LXO64Kd8OI	MPREb_ha8Js4i8ObL	UCvIPm_MzMctLdUww3kko0xQ	soul kings and queens radio
Molasses	Kwaku Asante	honeycomb	INDIFFERENT	l6zKScbOu3I	MPREb_19YN2tQQyVx	UCL8bpATEwwSP22fjUKYRVRw	soul kings and queens radio
