title	track_count	duration_hours	privacy	playlist_id
x.sp.DEZKO ASCEND radio	0	4	PRIVATE	PLWptjpDqazOww_kuoCjFrLVy_gHPwh4sC
x_r.treemusic_tracks_radio	0	48	PRIVATE	PLWptjpDqazOw_I9Mril_l2IWtHjJs47qa
x_r.realdubstep_tracks_radio	0	38	PRIVATE	PLWptjpDqazOwMf4gPALXALzg4GpPrYQWk
x_r.rainymood_tracks_radio	0	25	PRIVATE	PLWptjpDqazOzyqnJ3vyaqGgi8oPPBgIar
x_r.PunkRock_tracks_radio	0	18	PRIVATE	PLWptjpDqazOxddnjiYJuy7sQLOwZntMTr
x_r.indierock_tracks_radio	0	18	PRIVATE	PLWptjpDqazOyOe_-mcNny1fvad7pop_bf
x_r.Instrumentals_tracks_radio	0	8	PRIVATE	PLWptjpDqazOyZxlwC7Uw0Sozhf93iArjt
x_r.jazz_tracks_radio	0	20	PRIVATE	PLWptjpDqazOz5HeJ0jPdDFWMQCEqVkFoM
x_r.jazznoir_tracks_radio	0	24	PRIVATE	PLWptjpDqazOysrTSnxu6OAev1gWJei-dC
x_r.jazzyhiphop_tracks_radio	0	28	PRIVATE	PLWptjpDqazOwuynXZg_PWH3FG9LjEJPpz
x_r.krautrock_tracks_radio	0	17	PRIVATE	PLWptjpDqazOxqubNgZBSsGpo1481TwAo4
x_r.MelancholyMusic_tracks_radio	0	15	PRIVATE	PLWptjpDqazOwa5jy9R_DmkVSFh8zXc2wV
x_r.melodichouse_tracks_radio	0	39	PRIVATE	PLWptjpDqazOwlN97a5BZQn10nRlLq8CWC
x_r.minimal_tracks_radio	0	41	PRIVATE	PLWptjpDqazOyhP04mbi-UyzJwA1LnYHIh
x_r.ModernRockMusic_tracks_radio	0	2	PRIVATE	PLWptjpDqazOxQkoHlCfB_4gwP7alBOiHd
x_r.MusicToSleepTo_tracks_radio	0	7	PRIVATE	PLWptjpDqazOzfumkZJ8sZi_fKVxXLZOfI
x_r.NewWave_tracks_radio	0	46	PRIVATE	PLWptjpDqazOw4-O-hwyM3sMed2OkZ3GTW
x_r.nudisco_tracks_radio	0	69	PRIVATE	PLWptjpDqazOzV0PzMJNYfgF1LiWPSmg65
x_r.OldiesMusic_tracks_radio	0	15	PRIVATE	PLWptjpDqazOwPPKh7f_CBG7AwMk0t6-q4
x_r.OldskoolRave_tracks_radio	0	35	PRIVATE	PLWptjpDqazOzdzSlv3kyD0FNYfEqMC7Ct
x_r.OutlawCountry_tracks_radio	0	3	PRIVATE	PLWptjpDqazOyH6tejSSllauZTKxTAiAwC
x_r.PostRock_tracks_radio	0	45	PRIVATE	PLWptjpDqazOwNpWr_ISIR4lAotyqYBAo7
x_r.90shiphop_tracks_radio	0	15	PRIVATE	PLWptjpDqazOznLr_m9537w6vk-z9BI4GC
x.sp.Discord Favorites radio	0	4	PRIVATE	PLWptjpDqazOzip4F0g7_8vTgo9u3yvHZx
x_r.90sAlternative_tracks_radio	0	42	PRIVATE	PLWptjpDqazOx0ZPDpoI13GxAC-6Xl0ElT
x_r.80sHipHop_tracks_radio	0	24	PRIVATE	PLWptjpDqazOx6u_-ogCY8IHy6XsL9Coc_
electronic post dub radio	0	17	PRIVATE	PLWptjpDqazOxosk5SFsCJvX1XhrQEwkSI
electronic radio	0	22	PRIVATE	PLWptjpDqazOwTj7k2zqKNQliGC3Wy9t0l
electronic Sine Language radio	0	128	PRIVATE	PLWptjpDqazOyBJBdCbXmAHyhads7o2aS1
electronic Underjord radio	0	40	PRIVATE	PLWptjpDqazOz0JcZP-kqOKl6W2fhMJGEB
Folk radio	0	11	PRIVATE	PLWptjpDqazOxv6WZufplJWa0SrdaCk4II
future beats radio	0	113	PRIVATE	PLWptjpDqazOxlnSqqxOelq02hGRLcLvLX
garage rock radio	0	17	PRIVATE	PLWptjpDqazOwcJOurEYXEEO8oS_XVbjFO
electronic New Wave Redux (classic + modern) radio	0	28	PRIVATE	PLWptjpDqazOxp5jk_Znw0_tKBgwQXluc3
goth 1980s radio	0	9	PRIVATE	PLWptjpDqazOy9doSKMoJ9vvXeBkhSrNN-
Hip Hop 1990s radio	0	27	PRIVATE	PLWptjpDqazOyawg-rYKRPpOkbIizEELce
Hip Hop 2000s radio	0	8	PRIVATE	PLWptjpDqazOwl8EYx8jwkzEQ5VvK9KCut
Hip Hop Hits radio	0	8	PRIVATE	PLWptjpDqazOzXFi0ej9wTJ-GGvUSyZ4Xx
hiphop modern radio	0	39	PRIVATE	PLWptjpDqazOwWICSJ3T8riSZ4T44hGKHV
hiphop modern rap pop radio	0	10	PRIVATE	PLWptjpDqazOwb8CCr-JqrjOCB556DszxL
hiphop modern VITALS radio	0	10	PRIVATE	PLWptjpDqazOz-YCV1phtZD8FX0Cyv5uqO
hiphop old school radio	0	52	PRIVATE	PLWptjpDqazOyHf-vPRP5TT1CpBdszMYtE
Grunge radio	0	6	PRIVATE	PLWptjpDqazOwrkE95qsL5LzEZtR6rCeUh
hiphop soul good vibe radio	0	6	PRIVATE	PLWptjpDqazOz2wzz2RnSuracmcL6uZ3nI
electronic Liquid Drum And Bass radio	0	3	PRIVATE	PLWptjpDqazOwtMmHLwSjAyfetWzR6XYga
electronic Garage Bass House radio	0	34	PRIVATE	PLWptjpDqazOyHH1JtNsqs1l18EnZBc07U
ambient modular synths radio	0	1	UNLISTED	PLWptjpDqazOwB4RfNtNTuHCAquFQ0J91P
ambient radio	0	32	PRIVATE	PLWptjpDqazOwk869Iy1VsUYoUv-rkJ6SC
background library jazz radio	0	7	PRIVATE	PLWptjpDqazOydal2nfRzLqR5407BKY35o
Beats Lofi radio	0	30	PRIVATE	PLWptjpDqazOxEBjXnbzEc5oYwoarwWPos
beats trap Run The Vibes radio	0	4	PRIVATE	PLWptjpDqazOxwsvL3oFnqmRR2DBxeO3s4
Bossa Nova radio	0	20	PRIVATE	PLWptjpDqazOxycC8vFspD7a9hMy5KF4Fn
brass radio	0	6	PRIVATE	PLWptjpDqazOwwLfVX1XVEbyCxI_5r9wEB
electronic Innerwaves radio	0	7	PRIVATE	PLWptjpDqazOwO8uxS73JmOt-r5gG5eNpg
christmas crooners radio	0	3	PRIVATE	PLWptjpDqazOx6WdsiNzxLHnAdh8v1IjTa
electronic big beats radio	0	8	PRIVATE	PLWptjpDqazOzXKNUywDoO3e7bvIc0mG0R
electronic chills adventure radio	0	23	PRIVATE	PLWptjpDqazOy3ocYWfO_uPUHC3DwT1jtu
electronic Dance radio	0	16	PRIVATE	PLWptjpDqazOyVY3NptH_z8UZ0WIgajVDd
electronic Deep Minimum radio	0	8	PRIVATE	PLWptjpDqazOwBY2C-huW8pJi579lIZ5oD
electronic film scores radio	0	18	PRIVATE	PLWptjpDqazOxf4wupFrJBRUA8UowdSQmW
electronic Focus radio	0	8	PRIVATE	PLWptjpDqazOz85t84kyFasD3OaLML8K4G
electronic frequencies radio	0	12	PRIVATE	PLWptjpDqazOy6fsoJ2Nb6NMa1z2S9wAGl
deep house radio	0	115	PRIVATE	PLWptjpDqazOxToziCEQQnqSfupeNJmdhQ
Indie 1990s Rock radio	0	7	PRIVATE	PLWptjpDqazOy357qk6ZUWDrPK4XOqz6LS
Indie Folk radio	0	35	PRIVATE	PLWptjpDqazOyGZ6RZJLgxtOw8nL2-Muz8
Indie radio	0	19	PRIVATE	PLWptjpDqazOzCz9uU6YTJGESyhtm2Ouwq
Reggae Dub radio	0	9	PRIVATE	PLWptjpDqazOzIIPDThaBSRwcj0MNJyLWo
Reggae radio	0	83	PRIVATE	PLWptjpDqazOw-aDfspmRW92km0yUqgfuT
rock 1950s roots radio	0	17	PRIVATE	PLWptjpDqazOxgPRm2XzXiGc9MqydHQqzu
Rock 1980s New Wave radio	0	32	PRIVATE	PLWptjpDqazOxgvaMAZrif167IXMby3k2y
rock 1990s radio	0	13	PRIVATE	PLWptjpDqazOyhNLhI3B1t86DJVb-BMxHW
Rock modern The New Age of Classic radio	0	6	PRIVATE	PLWptjpDqazOzYSmQJUBVPoXqUPfHsOGy-
rock proto metal radio	0	7	PRIVATE	PLWptjpDqazOx99tB39Em8FK7y8z6unu-w
rap for lowering your iq radio	0	16	PRIVATE	PLWptjpDqazOxjXgjb5hKM1YPQ09NdZnMQ
rock stoner sludge dank radio	0	43	PRIVATE	PLWptjpDqazOxzYEYviUM8GBTgh7JMHZ7H
soul kings and queens radio	0	23	PRIVATE	PLWptjpDqazOycU2NdKn8zBiTR7E8QC__O
soul radio	0	25	PRIVATE	PLWptjpDqazOx-AJna-X5-UbNYkVxhaKll
trip hop & Ambien® radio	0	86	PRIVATE	PLWptjpDqazOwalP7RzT3zRfQL1yIU_GEa
trip hop radio	0	59	PRIVATE	PLWptjpDqazOyrCxoA4GO8IzRmRLWMCm4x
x_r.2000smusic_tracks_radio	0	63	PRIVATE	PLWptjpDqazOzwVaW_CNc6xtp7v_stZ_dX
x_r.2010smusic_tracks_radio	0	72	PRIVATE	PLWptjpDqazOyU9d_yupbcHOq-9MYYOonW
x_r.70sMusic_tracks_radio	0	8	PRIVATE	PLWptjpDqazOythRAN52Cp8m1HmbU6Gm-m
Shoegaze Radio	0	2	PRIVATE	PLWptjpDqazOwBP0T4t6cvGeQySRjD6pNn
punk skate or die radio	0	4	PRIVATE	PLWptjpDqazOwX0T8qcnUAhT63uDg2GUX6
punk 1970s radio	0	8	PRIVATE	PLWptjpDqazOwY3UuxcjLLIcusraha_aTa
Produced by kanye radio	0	4	PRIVATE	PLWptjpDqazOzJEwK6LwsxRt4jihwqJrIJ
instrumental ambient piano radio	0	9	PRIVATE	PLWptjpDqazOzZp_I1RtUs6eYuuwwjwkhS
instrumental piano classical radio	0	3	PRIVATE	PLWptjpDqazOwr-paqiRZlCtaB26xqCheu
Instrumentals Acoustic radio	0	3	PRIVATE	PLWptjpDqazOwMXA073PbBvjxkW0VTEC05
Japanese City Pop 70s 80s radio	0	8	UNLISTED	PLWptjpDqazOym2AkcbWXSFRBKnuWLryOn
jazz for spies radio	0	3	PRIVATE	PLWptjpDqazOyj2ARv0edtYtxjiscELzT3
jazz radio	0	64	PRIVATE	PLWptjpDqazOyrfTYRwMiCQ42-BoLw_6Wn
jazz Ted Gioia’s How to Listen to Jazz radio	0	8	PRIVATE	PLWptjpDqazOwi7s32rAId_lIvjAEHZt-j
nudisco radio	0	88	PRIVATE	PLWptjpDqazOywbIjIzR89yKp2BFo_l3s6
oldies 1950s radio	0	17	PRIVATE	PLWptjpDqazOyqJ-VURcoThBXqyOclnejZ
oldies 1960s radio	0	20	PRIVATE	PLWptjpDqazOwWA6kCKosROGXZJzbykx18
oldies doo wop radio	0	3	PRIVATE	PLWptjpDqazOwHBB8ytXEq58kYohTUKH2s
oldies fallout 40s radio	0	6	PRIVATE	PLWptjpDqazOwDkh-I7WmNHoGJ4U0iU1rm
Oldies radio	0	29	PRIVATE	PLWptjpDqazOyFChlXIQzGcxWVjrdpZL7h
post rock slow core radio	0	48	PRIVATE	PLWptjpDqazOxRQl3GD_QA9OOapkR98Jrt
Post-Punk 1970s-1980s radio	0	8	PRIVATE	PLWptjpDqazOyUqY5D47rNcXXGAo3kM2iu
Produced by Dilla radio	0	2	PRIVATE	PLWptjpDqazOxeY-liqSaL94-UBLu0fLca
Produced by DJ Premier radio	0	4	PRIVATE	PLWptjpDqazOxsFhbAvcJaTI7CmK4vQgtU
x_r.80sMusic_tracks_radio	0	24	PRIVATE	PLWptjpDqazOx9jA9hOj_3xjm5nk0OgCsw
x.sp.Solar Chillout radio	0	6	PRIVATE	PLWptjpDqazOwPm8WP67hHQsITtHPqYyvf
