title	artist	album	likeStatus	videoId	albumId	artistId	playlists
Whiskey	Trampled By Turtles	Songs from a Ghost Town	LIKE	02-XCVvSLF4	MPREb_Qs4hgXFLmSJ	UCTawkKEDqVN4Ef2lye8ohqA	Chill Supermix
The Low Spark Of High-Heeled Boys	Traffic	The Low Spark Of High Heeled Boys	LIKE	vDGorIWYz-A	MPREb_SxhQ7cd0NKp	UCFh-Yyaep1Gl5c0O1JTvEBQ	Chill Supermix
I'll Be Here in the Morning	Townes Van Zandt	Townes Van Zandt	LIKE	5irlcdLkmiI	MPREb_9jiO7CIjG9T	UC0nXgIL3q7dp3-QRNDYkdFg	Chill Supermix
Many a Fine Lady	Townes Van Zandt	For the Sake of the Song	LIKE	0BMDVsWlVn4	MPREb_vQ5cWsmyeuo	UC0nXgIL3q7dp3-QRNDYkdFg	Chill Supermix
54-46 Was My Number	Toots & The Maytals	In The Dark	LIKE	wNxNwvjzGM0	MPREb_2lGfPUdAHJJ	UC2863SnaB0ZHk7G9KwjGvMA	Chill Supermix
Time Tough	Toots & The Maytals	Funky Kingston	LIKE	g7MiWIUjY_U	MPREb_gvvgAulHpvF	UC2863SnaB0ZHk7G9KwjGvMA	Chill Supermix
Pressure Drop	Toots & The Maytals	Funky Kingston	LIKE	DKVB_CtU8XQ	MPREb_gvvgAulHpvF	UC2863SnaB0ZHk7G9KwjGvMA	Chill Supermix
Funky Kingston	Toots & The Maytals	Funky Kingston	LIKE	Or2_x8hsGTs	MPREb_gvvgAulHpvF	UC2863SnaB0ZHk7G9KwjGvMA	Chill Supermix
Thin Brown Layer	Tommy Guerrero	Soul Food Taqueria	LIKE	2xOPkdtFeHM	MPREb_jn2cTe2Zfjr	UCsZx_92ubPsc-kgCWxkQ0xw	Chill Supermix
White Sands	Tommy Guerrero	Road to Knowhere	LIKE	AAHjDgtYTiI	MPREb_YiGAksT8rwH	UCsZx_92ubPsc-kgCWxkQ0xw	Chill Supermix
Postcard Home	Tommy Guerrero	Road to Knowhere	LIKE	e-TRJr5tt48	MPREb_YiGAksT8rwH	UCsZx_92ubPsc-kgCWxkQ0xw	Chill Supermix
Semi Suite	Tom Waits	The Heart Of Saturday Night	LIKE	Z4h7wwyn75U	MPREb_DBhApQtkwOR	UC39N3pyt2Z15oOMjouokl8A	Chill Supermix
New Coat Of Paint	Tom Waits	The Heart Of Saturday Night	LIKE	Aa_WcN3FkJk	MPREb_DBhApQtkwOR	UC39N3pyt2Z15oOMjouokl8A	Chill Supermix
Drunk On The Moon	Tom Waits	The Heart Of Saturday Night	LIKE	ajF5Wv5GdkM	MPREb_DBhApQtkwOR	UC39N3pyt2Z15oOMjouokl8A	Chill Supermix
